APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    173.69      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY  L 120517 300  163500-164000   00     182.11  993.9    174.26     0.30    -9999
APATITY  L 120517 300  164000-164500   00     180.27  994.0    172.63    -0.60    -9999
APATITY  L 120517 300  164500-165000   00     181.82  993.8    173.89     0.10    -9999
APATITY  L 120517 300  165000-165500   00     182.37  993.9    174.57     0.50    -9999
APATITY  L 120517 300  165500-170000   00     181.72  993.8    173.84     0.10    -9999
APATITY  L 120517 300  170000-170500   00     182.55  993.6    174.27     0.30    -9999
APATITY  L 120517 300  170500-171000   00     179.51  993.5    171.35    -1.30    -9999
APATITY  L 120517 300  171000-171500   00     180.86  993.6    172.69    -0.60    -9999
APATITY  L 120517 300  171500-172000   00     180.82  993.5    172.60    -0.60    -9999
APATITY  L 120517 300  172000-172500   00     181.69  993.6    173.55    -0.10    -9999
APATITY  L 120517 300  172500-173000   00     180.43  993.6    172.27    -0.80    -9999
APATITY  L 120517 300  173000-173500   00     183.07  993.5    174.65     0.60    -9999
APATITY  L 120517 300  173500-174000   00     181.18  993.4    172.73    -0.60    -9999
